年月日,平均気温,平均湿度,天気概況
2021/4/26,13.4,35,晴
2019/12/26,7.8,68,曇
2007/3/31,13.1,57,曇
2014/10/15,15.9,66,雨
2005/11/9,15.5,41,晴
2019/5/25,24.4,52,晴
2016/10/26,19.1,82,晴
2001/3/13,5.2,38,晴
2018/10/21,16.6,56,晴
2010/10/21,18.4,77,雨
2010/1/14,3.8,31,晴
2010/1/17,4.9,29,晴
2019/11/23,11.3,100,雨
2011/11/25,11.4,36,晴
2018/3/12,9.9,50,晴
2021/7/4,20.1,98,雨
2017/10/15,15,97,雨
2006/2/6,2,50,曇
2020/1/20,7.5,62,晴
2002/1/26,4,54,曇
2007/10/27,16.8,87,雨
2007/5/6,18,79,雨
2007/11/24,9.2,48,晴
2014/11/14,12.8,42,晴
2009/1/30,9.6,82,雨
2012/11/30,10.5,74,曇
2002/3/20,14.4,31,晴
2011/3/26,7.4,39,晴
2021/2/9,4.7,32,晴
2003/8/20,24.2,75,曇
2014/3/2,5.6,89,雨
2013/12/9,8.2,48,曇
2016/11/6,14.8,58,晴
2013/10/9,26.1,73,曇
2009/5/20,23.2,52,晴
2020/12/7,9.7,71,晴
2020/10/15,16.8,83,雨
2017/9/5,23,84,曇
2015/1/18,4.7,36,晴
2010/5/1,16.4,45,晴
2001/4/15,17.1,43,晴
2010/9/8,25.8,79,雨
2000/2/5,7.3,39,晴
2010/12/5,11.7,53,晴
2016/12/31,6.3,53,晴
2018/1/10,7.5,41,晴
2015/2/12,7,56,晴
2005/1/15,4.1,81,雨
2002/9/23,20.2,68,曇
2019/10/29,14.5,93,雨
2006/4/13,17.4,75,曇
2006/12/14,11.3,65,曇
2008/4/6,14.7,35,晴
2007/1/31,10.3,48,晴
2015/2/1,4,32,晴
2007/7/14,22,87,雨
2017/9/11,25.8,78,曇
2009/7/8,26.5,75,雨
2009/6/4,21.6,63,曇
2007/6/28,26.5,69,曇
2011/4/8,17.2,50,曇
2005/3/11,9.4,77,雨
2004/11/26,14.7,52,曇
2000/2/10,6.1,24,晴
2017/10/16,12.7,100,雨
2000/1/19,5.5,71,雨
2021/1/19,4.4,40,晴
2019/12/6,8,52,曇
2007/11/27,13,47,曇
2018/9/30,20.4,97,雨
2006/9/7,25.3,76,曇
2014/8/17,26.2,81,曇
2010/5/23,18.3,75,雨
2016/10/22,16.7,71,曇
2008/8/17,22.6,84,雨
2018/9/20,19.9,85,雨
2000/5/25,20.8,62,晴
2005/2/16,4.5,79,雨
2016/1/24,3.3,42,晴
2005/9/6,24.6,84,雨
2019/2/28,6.6,92,雨
2011/9/20,19.9,86,雨
2016/2/6,6.7,69,曇
2020/10/10,16,100,雨
2003/5/18,17.2,66,曇
2003/2/23,6.3,67,曇
2002/11/24,10.6,72,曇
2017/2/12,5,42,晴
2003/7/25,22.8,79,曇
2017/3/14,8.1,86,雨
2015/10/7,17.5,49,晴
2005/9/9,25.2,65,曇
2004/8/29,19.9,88,雨
2011/12/17,6.1,34,晴
2001/1/29,5.8,41,晴
2004/10/20,17.2,89,雨
2006/5/11,21.2,72,雨
2001/9/21,19.1,83,雨
2004/5/27,22.4,68,曇
2007/4/24,13.1,67,曇
2015/8/18,28.2,76,曇
2008/7/10,24.6,70,曇
2003/12/23,10.2,52,晴
2018/11/2,14.5,58,晴
2011/6/7,21.6,68,曇
2013/3/30,9,72,曇
2009/9/19,21.7,65,曇
2004/11/4,18.1,50,晴
2017/8/16,21.9,99,雨
2020/11/14,14.7,56,晴
2003/11/26,12.5,53,晴
2013/2/16,3.1,37,晴
2001/6/8,20.9,73,曇
2013/4/25,18,49,曇
2012/1/1,5.7,43,曇
2011/4/23,16.5,81,雨
2003/1/25,5.1,35,晴
2004/10/26,15.9,79,雨
2002/6/16,22.2,77,曇
2014/9/15,24.1,65,曇
2002/6/28,20.4,73,曇
2020/9/25,19.4,95,雨
2011/4/6,13.7,35,晴
2014/12/31,8,63,晴
2010/12/25,5.6,36,晴
2006/8/3,27.5,61,晴
2004/6/27,23.3,71,曇
2000/10/18,18.4,46,曇
2009/9/3,22.2,68,曇
2011/5/29,18,88,雨
2011/6/14,21.7,72,曇
2008/12/7,7.5,32,晴
2003/6/18,24,79,雨
2020/7/21,25.5,88,曇
2008/12/4,12.4,61,晴
2010/6/23,24.2,81,雨
2014/6/6,19.9,90,雨
2017/1/1,7.4,59,晴
2017/4/11,8.5,90,雨
2007/4/22,20,65,曇
2019/6/14,22.2,72,曇
2005/10/16,19.2,80,雨
2011/12/13,9.7,47,晴
2010/1/15,4.6,37,晴
2003/1/12,7.6,40,晴
2009/5/28,18.5,76,雨
2001/9/16,25.8,77,曇
2021/1/6,5.3,73,曇
2013/12/19,6.3,89,雨
2003/11/5,17.4,64,曇
2009/9/21,21.3,62,曇
2015/12/18,7.8,41,晴
2014/11/22,13.8,66,晴
2000/6/11,18.1,87,雨
2009/12/9,10.2,50,曇
2002/6/14,20.9,81,曇
2015/11/6,16.4,64,晴
2012/7/22,20.8,85,曇
2020/11/17,15.2,62,晴
2012/3/9,7.3,89,雨
2001/11/27,10.4,44,晴
2003/10/27,16.3,55,曇
2012/6/25,18.4,72,曇
2018/4/21,18.9,65,晴
2004/6/25,25.9,78,雨
2015/6/3,21.7,89,雨
2018/3/16,13.2,79,雨
2012/10/1,26.9,63,晴
2018/5/28,21.6,76,曇
2004/12/11,13.5,49,晴
2011/11/10,14.1,57,曇
2005/3/8,10.6,54,晴
2009/9/30,20.2,77,雨
2007/2/12,8.4,39,晴
2015/4/20,18.4,89,雨
2006/7/7,25.8,73,曇
2016/7/8,25.3,77,曇
2014/1/6,5.3,37,晴
2016/1/16,6.5,54,晴
2001/11/9,12.8,78,雨
2006/9/13,18.7,87,雨
2013/3/12,10.7,42,晴
2002/4/16,21.6,58,曇
2018/3/14,14.3,64,晴
2005/2/4,7.2,28,晴
2003/5/23,17.6,64,曇
2006/4/5,11.6,75,雨
2020/12/9,9.8,61,曇
2013/10/20,15.2,92,雨
2006/6/2,22.2,68,曇
2001/4/18,18.6,58,曇
2018/12/15,6.1,42,晴
2006/8/1,22.9,67,曇
2018/3/29,18.1,60,晴
2017/3/21,9.1,93,雨
2010/10/4,20.4,80,曇
2004/3/20,4.8,74,雨
2011/10/20,17.7,61,曇
2021/8/17,23.7,96,雨
2004/10/15,18.1,48,晴
2007/11/25,12,56,晴
2002/9/21,22.2,57,曇
2019/4/30,14.8,96,雨
2020/2/16,9.3,91,雨
2017/4/21,15.6,73,曇
2004/2/18,8.8,27,晴
2002/8/23,22.4,75,雨
2003/2/28,6.3,32,晴
2017/8/3,24.3,76,曇
2014/4/15,16.3,53,晴
2009/5/31,19.7,83,雨
2021/1/5,6,67,曇
2006/1/27,6.8,32,晴
2006/4/14,13,68,曇
2000/11/1,14.3,87,雨
2003/8/18,22,82,曇
2017/4/9,13.8,93,雨
2018/8/12,27.7,85,曇
2012/4/11,15.7,76,雨
2013/6/11,21.4,76,雨
2005/4/14,13.6,50,晴
2013/12/2,10.8,59,晴
2006/3/26,13.6,56,曇
2008/10/24,21,89,雨
2002/5/7,13.8,80,雨
2004/4/4,6.9,73,雨
2003/7/18,22,74,曇
2020/9/29,19.7,67,曇
2003/2/2,3.6,41,曇
2011/5/12,15.6,85,雨
2011/4/3,7.9,39,曇
2003/3/12,6.1,28,晴
2014/12/22,7.1,42,晴
2014/4/26,18.2,58,晴
2017/1/5,6.7,39,晴
2010/6/13,23.2,65,曇
2013/3/6,11,40,晴
2003/4/20,13.7,81,雨
2019/9/4,23.7,84,曇
2015/3/9,9,89,雨
2007/11/21,10.7,47,晴
2019/4/14,14.7,59,曇
2013/8/26,26.7,65,曇
2018/6/25,26.2,71,晴
2014/12/9,7.3,49,晴
2019/12/9,6.4,66,曇
2001/10/7,19.8,60,曇
2002/6/12,20.4,83,雨
2004/9/5,22.6,83,雨
2001/12/11,7.3,31,晴
2020/7/12,26,81,曇
2001/12/25,6.9,54,曇
2019/9/13,22.4,67,曇
2008/7/3,24.3,75,曇
2014/1/5,5.4,37,曇
2011/6/2,16,81,雨
2011/8/22,21.2,85,雨
2004/4/13,11.4,62,曇
2000/11/16,12.7,67,曇
2002/8/20,27.7,45,晴
2015/10/5,17.9,50,曇
2017/2/15,6.5,39,晴
2014/11/19,12.1,38,晴
2019/1/14,5.6,59,晴
2007/3/1,9,31,晴
2000/1/5,9.3,46,曇
2011/1/14,3.8,36,晴
2001/1/22,6.9,35,曇
2019/1/27,4.6,43,晴
2000/12/27,6,26,晴
2011/5/26,19.3,65,曇
2005/10/11,19.2,73,曇
2017/7/1,23.4,90,雨
2009/5/12,22.2,70,曇
2011/6/12,23.2,68,曇
2017/2/2,4.5,33,晴
2020/10/6,21,52,曇
2001/1/15,1.7,34,晴
2019/11/6,14.3,61,晴
2018/1/14,4.1,43,晴
2014/1/23,6.5,35,晴
2006/6/18,21.3,87,雨
2003/7/22,21.5,74,曇
2018/1/27,2.6,33,晴
2017/1/17,5.4,56,晴
2008/7/26,27.9,74,曇
2014/12/26,5.1,38,晴
2006/5/13,12.9,72,雨
2000/11/2,14.7,91,雨
2001/6/6,20.2,83,雨
2016/5/28,19.3,80,曇
2010/4/12,8.6,72,雨
2008/7/7,25.1,81,雨
2020/4/29,15.1,69,晴
2009/1/14,5.9,40,晴
2002/8/4,27,76,曇
2019/5/31,21.6,74,曇
2018/4/5,13.3,71,曇
2010/12/10,10.6,45,晴
2011/3/28,8.6,37,晴
2012/10/21,19.1,58,晴
2000/3/24,11.5,55,雨
2003/6/26,20.7,73,曇
2012/6/21,23.7,72,雨
2013/2/26,5.5,40,晴
2009/1/31,7.8,76,雨
2020/9/23,20.2,95,雨
2009/4/6,14.9,43,晴
2009/3/12,8.1,31,晴
2006/2/19,7,56,曇
2014/6/1,26.6,54,晴
2020/11/3,14.8,92,曇
2018/9/15,20.5,100,雨
2005/4/29,23,53,晴
2018/7/2,28.8,70,晴
2010/10/17,20.9,59,曇
2003/5/19,17.1,81,雨
2000/10/8,19.4,62,曇
2018/6/17,18.7,77,曇
2012/6/5,21.7,69,曇
2010/4/25,12.7,44,晴
2015/6/21,20.6,86,雨
2008/3/8,8.6,35,晴
2010/11/26,12.8,68,曇
2014/12/18,4,38,晴
2019/10/20,20.1,85,曇
2021/9/3,19.7,99,雨
2004/6/9,18.4,79,曇
2003/3/26,14.4,46,晴
2011/6/10,22.8,74,曇
2009/5/29,17.5,86,雨
2003/2/6,5.2,42,晴
2000/11/26,13.6,65,晴
2021/1/1,4.4,40,晴
2011/8/20,23.7,72,曇
2001/10/19,15.3,53,晴
2021/6/14,21,92,雨
2015/2/7,5.3,60,曇
2004/1/31,7.4,32,晴
2017/1/21,5.9,52,晴
2016/4/1,12.8,63,曇
2009/3/9,10.2,59,曇
2011/12/20,7,38,晴
2009/7/3,23.2,79,曇
2016/9/22,19.4,98,雨
2010/10/9,17.5,82,雨
2000/3/20,9.9,33,晴
2003/1/30,3.9,29,晴
2021/1/11,2.3,47,曇
2004/6/11,20.7,77,雨
2002/1/3,4.1,29,晴
2005/3/6,3.8,62,曇
2003/3/17,5.8,79,雨
2004/1/20,8.2,43,晴
2017/6/11,21.7,55,曇
2000/12/31,8.1,53,曇
2019/3/4,7.3,99,雨
2019/7/8,20.3,81,曇
2007/9/30,16.8,84,雨
2008/12/12,13.1,56,晴
2004/9/15,22.6,53,晴
2010/4/22,9.1,70,雨
2018/6/11,18.9,99,雨
2009/2/4,7.5,57,曇
2011/3/29,10.9,42,晴
2001/1/1,7.5,32,晴
2004/9/27,19.4,86,雨
2013/12/15,7.2,43,晴
2003/11/17,14,33,晴
2005/3/26,8.7,32,晴
2014/11/26,9.2,89,雨
2001/2/12,4.1,33,曇
2003/7/19,23.8,74,曇
2012/3/31,14.1,60,雨
2006/6/12,20.5,72,曇
2005/1/7,7.8,52,晴
2021/8/29,28.5,72,曇
2004/5/10,18.5,86,雨
2012/4/21,11.8,67,曇
2015/5/18,21.5,73,曇
2021/8/24,27.5,78,曇
2009/1/1,6.2,29,晴
2018/2/25,5.6,57,曇
2016/12/11,6.8,42,晴
2010/5/21,24.3,55,晴
2014/3/5,6.5,85,雨
2008/11/30,12,39,晴
2006/1/1,3.6,41,曇
2000/3/2,7.8,30,晴
2021/8/25,29.4,76,曇
2013/5/8,17.3,29,晴
2012/10/18,17.8,87,雨
2004/1/14,5,25,晴
2016/9/23,20.8,100,雨
2020/9/17,24.9,88,曇
2002/6/23,17.5,74,曇
2007/7/11,24.7,82,雨
2003/11/14,12.7,52,晴
2000/4/1,12.7,28,晴
2005/4/20,12.8,77,雨
2001/11/10,11.1,84,雨
2020/11/20,21.9,73,曇
2014/4/3,13.8,90,雨
2002/6/27,16.4,87,雨
2011/2/19,6.1,41,曇
2009/7/1,23.3,82,曇
2004/10/9,17.2,86,雨
2002/9/26,20.2,55,曇
2005/7/11,28.5,66,曇
2013/10/13,21.6,35,晴
2005/11/3,15.6,58,曇
2015/12/13,10.2,81,雨
2001/6/5,24.3,64,曇
2005/7/2,25.8,71,曇
2019/2/2,6,54,晴
2014/10/23,14.3,81,雨
2011/7/7,26.8,69,曇
2000/2/6,7.3,58,曇
2015/6/30,22.5,75,曇
2004/1/8,5.7,34,晴
2015/1/12,5.2,39,晴
2003/11/20,11.7,81,雨
2018/4/29,20.1,66,晴
2000/3/1,6.1,25,晴
2021/2/15,11.4,91,雨
2001/5/23,19.7,86,雨
2001/4/16,17.2,43,晴
2021/9/9,20.5,96,雨
2014/6/23,24.2,69,曇
2009/6/3,21.9,66,曇
2006/1/29,6,45,晴
2017/1/3,8,54,晴
2007/9/29,18.4,74,雨
2013/7/4,25.2,83,曇
2012/6/13,17.4,75,曇
2018/1/23,3.7,69,晴
2018/3/28,17.2,65,晴
2004/5/23,13.8,80,曇
2009/3/17,14.4,38,晴
2019/5/9,18.6,51,曇
2010/5/20,20.2,87,雨
2006/7/20,22.4,74,曇
2003/7/23,19.4,77,雨
2020/12/12,11.4,70,曇
2009/4/25,11.2,85,雨
2006/6/30,26.6,69,曇
2012/1/7,5.7,33,晴
2008/11/21,11,43,晴
2021/4/14,15.3,96,雨
2015/10/25,16.1,32,晴
2007/10/8,21.1,76,雨
2015/2/24,9.7,74,曇
2014/9/3,24.1,72,曇
2000/12/14,7.2,52,曇
2011/1/25,5.9,34,晴
2003/8/13,23.8,71,曇
2007/1/2,8.3,44,曇
2018/1/2,6.1,42,晴
2000/11/17,9.8,88,雨
2002/12/6,12.1,42,曇
2003/9/7,22.8,71,曇
2017/6/25,22.3,95,雨
2001/8/30,25,74,曇
2020/9/19,24.7,78,曇
2009/5/24,19.4,70,雨
2018/12/7,12.2,85,曇
2005/12/29,5.2,29,晴
2005/6/16,19.1,79,雨
2013/1/19,5.2,42,晴
2006/10/24,13.4,81,雨
2014/2/21,5.5,35,晴
2001/12/28,6.9,43,晴
2004/6/8,22.9,75,曇
2019/4/12,9.6,52,曇
2002/4/21,15.4,78,雨
2015/1/13,6.6,38,晴
2013/12/22,7.6,43,晴
2007/5/11,18.5,31,晴
2011/10/2,18.5,54,曇
2004/5/16,18.9,86,雨
2011/2/24,11.4,67,雨
2003/1/31,5.2,36,晴
2015/3/6,7.3,53,曇
2021/3/8,6.6,87,雨
2003/2/1,5.1,29,晴
2010/9/27,16.3,87,雨
2000/12/28,6.4,40,晴
2018/4/27,18.5,70,曇
2001/12/13,9.1,64,雨
2000/12/15,9.4,48,晴
2000/11/9,12.5,52,曇
2007/7/13,24.9,80,曇
2003/10/29,20,62,晴
2004/8/24,26.3,70,曇
2012/8/15,29.1,74,曇
2002/4/10,12.7,64,曇
2009/5/23,23.2,63,曇
2006/5/26,19.4,58,曇
2016/3/16,8.7,51,曇
2003/3/22,7.2,59,曇
2009/3/2,6.9,36,晴
2021/9/25,22.1,73,曇
2009/10/18,19.7,63,晴
2002/10/13,18,60,晴
2006/5/19,19,84,雨
2016/7/9,22.4,95,雨
2016/1/1,7.5,45,晴
2016/12/28,6,44,晴
2012/4/30,20.7,74,曇
2016/4/27,18.1,76,曇
2009/4/11,18.1,49,晴
2016/3/13,6.7,64,曇
2010/11/29,12.3,39,晴
2002/10/14,20.8,60,晴
2017/1/16,3.2,45,晴
2008/8/10,26.6,70,曇
2002/12/27,4.2,34,晴
2014/12/2,10.8,45,晴
2006/8/5,30,57,晴
2021/5/21,21.7,92,雨
2016/8/14,26,68,曇
2010/10/29,13.9,64,曇
2011/12/30,6.2,29,晴
2014/4/8,15.8,48,晴
2009/10/27,19.1,51,晴
2015/11/28,9.4,55,晴
2021/2/16,10.6,38,晴
2008/4/13,10.1,74,雨
2001/5/16,20.1,83,雨
2016/6/12,23.9,70,曇
2013/4/28,16.8,28,晴
2004/9/26,20.8,84,雨
2000/6/26,20.3,82,曇
2021/8/13,22.5,97,雨
2017/5/20,22.1,68,晴
2007/2/4,7.4,29,晴
2016/6/8,21.9,72,曇
2006/4/18,16.4,50,晴
2019/12/21,8.1,73,曇
2002/11/28,10.1,32,晴
2019/2/1,4.1,45,晴
2015/12/20,6.9,47,晴
2017/6/29,24.6,80,曇
2003/1/6,4.2,29,晴
2018/1/3,4.9,43,晴
2016/3/7,14.1,99,雨
2014/1/29,8.9,43,晴
2017/1/25,3.9,36,晴
2011/11/11,12.4,77,雨
2021/1/20,3.9,41,晴
2013/8/2,25.6,73,曇
2014/10/4,24.2,63,曇
2004/10/8,17.3,79,雨
2012/4/26,18.3,77,雨
2009/4/10,18.6,46,晴
2009/1/17,6.4,40,晴
2021/4/6,10.6,65,曇
2006/11/20,12.7,84,雨
2016/2/10,6,33,晴
2020/9/18,29,74,曇
2003/2/3,4.9,43,晴
2017/8/17,24.2,89,曇
2017/2/3,7.4,36,晴
2005/5/20,19.3,38,曇
2011/5/6,16,65,曇
2002/1/25,6.9,35,晴
2012/2/15,7.6,62,曇
2003/5/31,21.4,80,雨
2008/8/24,21.6,90,雨
2006/10/3,22.1,70,曇
2021/1/13,5.8,64,晴
2020/5/19,17.7,97,雨
2009/11/15,16.9,51,晴
2021/3/7,7.8,56,曇
2014/11/1,16.8,85,雨
2005/6/17,20.7,76,曇
2001/12/5,10.4,65,曇
2002/2/26,9.5,60,曇
2002/6/25,17.5,82,雨
2003/2/25,6,53,晴
2019/7/16,20.5,100,雨
2015/7/4,22.5,96,雨
2021/2/19,6.9,41,晴
2017/11/21,7.9,49,晴
2000/11/20,9.2,83,雨
2011/11/3,18.4,59,曇
2002/5/2,17.9,46,晴
2011/6/26,21.3,81,曇
2007/2/26,6.1,37,晴
2013/4/19,14.5,43,曇
2009/12/3,10.1,79,雨
2008/4/10,10.1,82,雨
2016/5/12,21.7,53,晴
2001/10/21,16.9,59,曇
2003/10/7,17,63,曇
2020/12/17,4.3,42,晴
2009/10/7,17.6,86,雨
2002/2/28,10.3,80,雨
2013/3/21,11.7,33,晴
2015/11/22,13.1,67,曇
2004/11/19,13.2,86,雨
2004/9/12,24.3,64,晴
2015/11/4,14.4,64,晴
2014/3/13,12.3,79,雨
2016/11/11,9,97,雨
2009/10/15,18.1,60,晴
2002/12/29,5.1,42,晴
2008/9/19,23.9,80,雨
2004/5/2,12.9,53,曇
2017/11/28,11.6,76,曇
2013/10/27,16.6,53,晴
2013/10/5,17.8,93,雨
2001/9/25,20.9,55,晴
2017/9/6,21.6,99,雨
2010/11/5,13.9,54,晴
2021/1/24,4.3,95,雨
2021/7/14,25.3,82,曇
2007/2/10,10.8,71,曇
2009/4/1,9.9,75,雨
2006/2/28,4.6,54,曇
2009/7/6,23.7,81,雨
2012/1/9,5.9,44,晴
2002/5/31,21.7,62,曇
2011/4/14,16.7,41,晴
2017/10/30,15.3,53,晴
2010/12/23,12.1,37,晴
2008/6/26,17,78,雨
2011/3/13,11.3,49,晴
2015/11/27,9.9,58,晴
2013/4/24,16.8,74,雨
2001/10/15,19.1,47,晴
2004/11/23,13.9,59,晴
2013/3/24,11,68,曇
2018/4/28,20.1,51,晴
2016/10/15,16.7,64,晴
2005/1/30,6.9,35,晴
2002/9/24,21,48,晴
2000/4/5,11.9,89,雨
2006/12/21,9.3,61,曇
2016/6/6,20,76,曇
2014/10/17,18.4,53,晴
2015/6/22,22.6,76,曇
2007/12/20,8.1,47,晴
2020/3/18,11.9,52,晴
2020/10/31,13.8,54,晴
2010/11/14,15.6,62,曇
2018/3/19,13,70,曇
2019/3/29,7.7,56,曇
2020/9/22,22.5,76,曇
2011/12/4,13.4,41,晴
2000/10/5,20.9,68,曇
2000/6/23,21.3,81,雨
2002/8/8,31,56,晴
2012/1/16,4.5,35,曇
2014/1/16,4.8,47,晴
